id,duration,datetime_upload,uploader_id,url,doccano_text
9nl0lzFDLOs,292,2023-11-12,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=9nl0lzFDLOs,"
    So dreist bereichern sich die Altparteien! - Fabian Jacobi - AfD-Fraktion im Bundestag

    ----------------------------------------

    Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Unsere Webseite
https://afdbundestag.de/

Andere Social Media Kanäle
Facebook: https://www.facebook.com/afdimbundestag/
Twitter: https://twitter.com/AfDimBundestag/
Instagram: https://www.instagram.com/afdimbundestag
Telegram: https://t.me/afdfraktionimbundestag
TikTok: https://www.tiktok.com/@afdfraktionimbundestag
"
q4I8kEYzMkw,329,2019-03-20,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=q4I8kEYzMkw,"
    Staatsinterventionismus geht immer schief! - Peter Boehringer - AfD-Fraktion im Bundestag

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
IpedFCprDKc,272,2020-01-15,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=IpedFCprDKc,"
    Die EU kann und darf kein Staat werden! - Fabian Jacobi

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Zum Gesetzesentwurf der Regierung, die Verunglimpfung der EU unter Straftatbestand zu stellen, erklärt der #AfD-Abgeordnete Fabian Jacobi: ""Die EU kann und darf kein Staat werden!""

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
--SFhG5pFUc,75,2018-05-24,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=--SFhG5pFUc,"
    Alexander Gauland von Grünen-Abgeordneter attackiert! - AfD-Fraktion im Bundestag

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag In Frankfurt wurde unser Fraktionsvorsitzender Alexander Gauland von der grünen Abgeordneten Daniela Capelluti hart angegangen und beleidigt.

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
vYMfUz4UTWg,296,2018-10-11,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=vYMfUz4UTWg,"
    Detlev Spangenberg: Bürger haben ein Recht auf Vertragssicherheit! - AfD-Fraktion im Bundestag

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
P7rgXoBqeCo,260,2021-02-04,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=P7rgXoBqeCo,"
    Logik darf man von den Grünen nicht erwarten! - Anton Friesen - AfD-Fraktion im Bundestag

    ----------------------------------------

    Folge uns auf Telegram: https://t.me/afdfraktionimbundestag

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
aQRa83XNaE8,924,2018-10-24,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=aQRa83XNaE8,"
    1 Jahr AfD-Fraktion im Bundestag!

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Am 24.10.2017, also vor genau einem Jahr, konstituierte sich der Bundestag. Zum ersten Mal dabei: Die AfD-Fraktion. Was wir innerhalb des vergangenen Jahres bewegt und welche Eindrücke unsere Abgeordneten gesammelt haben, schildern sie in diesem Video!

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
WBoPW1QifL4,286,2021-07-01,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=WBoPW1QifL4,"
    Michael Espendiller fordert die Freilassung des GEZ-Inhaftierten Georg Thiel! - AfD-Fraktion

    ----------------------------------------

    Folge uns auf Telegram: https://t.me/afdfraktionimbundestag

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
j5U-Sl9g7Sk,341,2018-06-08,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=j5U-Sl9g7Sk,"
    Mit Ihrem EU-Wahnsinn treiben Sie alles auf die Spitze! - Kay Gottschalk - AfD-Fraktion im Bundestag

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Aktuelle Stunde zur Gemeinsamen Agrarpolitik, insbesondere zum Insektenschutz.

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
V4Adc_-MifQ,298,2020-11-25,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=V4Adc_-MifQ,"
    Das ist ökonomisch der größte Schwachsinn! - Martin Sichert - AfD-Fraktion im Bundestag

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Diese ganze Umverteilung von deutschem Steuergeld an andere EU-Länder ist nur eine brutale Ausbeutung deutscher Erwerbstätiger. Man presst ihnen immer mehr Geld ab, bürdet ihnen immer mehr Steuern und Schulden auf, die sie abarbeiten müssen und finanziert damit Steuersenkungen und soziale Wohltaten in anderen Ländern. Nicht mit der AfD!

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
ny3hXp0z9cI,1477,2019-02-01,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=ny3hXp0z9cI,"
    Das ""Kanadische Modell"" - Kay Gottschalk - AfD-Bürgerdialog Herne

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
ZBmo-vgj9xE,318,2018-03-22,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=ZBmo-vgj9xE,"
    Sie opfern das Wohl des deutschen Volkes! - Uwe Witt - AfD-Fraktion im Bundestag

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Zum Thema Arbeit und Soziales. Jetzt Kanal abonnieren:
https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
l016ZJJOlNY,252,2023-05-16,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=l016ZJJOlNY,"
    Das Zentralisierungsbestreben der WHO sofort stoppen! Dr. Christina Baum - AfD-Fraktion im Bundestag

    ----------------------------------------

    Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Unsere Webseite
https://afdbundestag.de/

Andere Social Media Kanäle
Facebook: https://www.facebook.com/afdimbundestag/
Twitter: https://twitter.com/AfDimBundestag/
Instagram: https://www.instagram.com/afdimbundestag
Telegram: https://t.me/afdfraktionimbundestag
TikTok: https://www.tiktok.com/@afdfraktionimbundestag
GETTR: https://www.gettr.com/user/afdbundestag
"
8GFdbbXopoo,243,2020-04-23,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=8GFdbbXopoo,"
    Nicht in die Eigentumsrechte von Unternehmen eingreifen! - Leif-Erik Holm - AfD-Fraktion

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag ""Geologische Daten von Unternehmen dürfen nicht einfach öffentlich gemacht werden, um geeignete Flächen für ein Atommüllendlager zu finden. Das ist nicht verfassungskonform"", so der stellv. Fraktionsvorsitzende der AfD-Fraktion im Deutschen Bundestag, Leif-Erik Holm.

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
kGUSbJwIw_o,259,2020-05-15,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=kGUSbJwIw_o,"
    Kritik an der EU darf nicht bestraft werden! - Fabian Jacobi - AfD-Fraktion im Bundestag

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Man will unter Strafandrohung die EU auf eine Stufe mit der Republik stellen - das wird es mit der AfD-Fraktion nicht geben.

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
_Qi91JHda7k,270,2019-09-12,@AfDFraktionimBundestag,https://www.youtube.com/watch?v=_Qi91JHda7k,"
    Verachtung von Frauen ist Lehrstoff des Islam! - Gottfried Curio - AfD-Fraktion im Bundestag

    ----------------------------------------

    Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag #Islam #Seehofer #AfD

Offizieller Kanal der AfD-Fraktion im Deutschen Bundestag
Jetzt abonnieren ► https://www.youtube.com/channel/UC_dZp8bZipnjntBGLVHm6rw/about?sub_confirmation=1

Andere Social Media Kanäle
AfD-Fraktion in Facebook:
https://www.facebook.com/afdimbundestag/
AfD-Fraktion auf Twitter:
https://twitter.com/AfDimBundestag/
AfD-Fraktion auf Instagram:
https://www.instagram.com/afdimbundestag
"
