channel,meanViews,medianViews,meanLikes,medianLikes
AfD BT,54654.22322145495,16714.0,4443.8100208768265,2062.0
AfD DE,56958.219589257504,20265.0,4493.589155953046,2610.0
CDU/CSU BT,3536.8107394366198,273.5,137.23584905660377,25.5
CDU/CSU DE,22598.43323996265,1299.0,172.00562851782365,29.0
FDP BT,24525.450310559005,1695.0,291.9113530326594,60.0
FDP DE,24372.715039577837,1243.5,104.0,104.0
Greens BT,4642.515021459228,1003.0,57.55793991416309,17.0
Greens DE,16554.585074626866,1423.5,209.45248868778282,35.0
Left BT new,1296.952802359882,246.0,74.30973451327434,14.0
Left BT old,3581.868978805395,541.5,165.0587668593449,33.0
Left DE,38521.98505603985,3896.0,2460.5425,193.0
SPD BT,2223.7566666666667,696.5,51.61395348837209,18.0
SPD DE,10756.414349775785,2534.0,196.46540880503144,86.0
