channel,video_likes,video_views,video_title
SPD,7048,261702,"Reaktion auf Rezo Statement | Lars Klingbeil, Tiemo Wölken, Kevin Kühnert"
SPD,3215,124091,Rede von Kevin Kühnert
SPD,2943,562534,"Was ist eigentlich alles drin, wenn man die SPD wählt?"
SPD,1852,116863,Respekt für Dich. Kompetenz für Deutschland.
SPD,1200,38404,Soziale Politik für Dich
SPD,711,172277,"Weil es nicht egal ist, wer das Land regiert."
SPD,619,19731,Neujahrsansprache von Kanzler Scholz | Jahreswechsel 2021/22
SPD,607,10036,„Auf den Kanzler kommt es an“
SPD,500,49390,Büttenrede von Lars Klingbeil beim Orden wider den tierischen Ernst 2023 in Aachen
SPD,426,8247,Jetzt abstimmen! Saskia Esken & Norbert Walter-Borjans zum Finale
Left,19970,769998,"Caren Lay nimmt die AfD-Männer auseinander, die angeblich Frauenrechte verteidigen"
Left,15777,663977,Stefan Liebich zerpflückt die Fakenews der AfD zum Migrationspakt
Left,6428,230089,Janine Wissler (DIE LINKE): Nachhilfe für die AfD in Sachen Meinungsfreiheit
Left,4402,149768,Macht das Land gerecht. Jetzt.
Left,3469,312521,16 Jahre: Genug Zeit verloren.  Machen wir das Land gerecht. - Wahlspot zur Bundestagswahl 2021
Left,3117,137967,"Gysi & Wissler: Die DDR, Marx und der Demokratische Sozialismus"
Left,2396,303424,Wahlspot DIE LINKE: Gemeinsam machen wir das Land gerecht. JETZT.
Left,1702,208320,DIE LINKE: Für ein solidarisches Europa! Unser Wahlwerbespot zur Europawahl 2019
Left,1692,37786,"Martin Schirdewan: ""Wer Europa will muss es den Reichen nehmen!"""
Left,1496,39602,Der LINKE Internationale-Chor
Greens,12171,970937,Ein schöner Land – Grüner Spot zur Bundestagswahl 2021
Greens,801,14152,Auf dem Weg mit Martin Rütter und Annalena Baerbock
Greens,709,43383,Luisa Neubauer | Rede auf dem Parteitag in Bonn | #BDK22
Greens,555,18255,Annalena Baerbock | Rede auf dem Bundesparteitag | #dBDK21
Greens,501,38978,Auf dem Weg mit Judith Holofernes und Annalena Baerbock
Greens,443,8264,Auf dem Weg mit Claudia Roth und Annalena Baerbock
Greens,405,18552,Robert Habeck | Rede auf dem Parteitag in Bonn | #BDK22
Greens,394,8118,Koalitionsgespräche Woche 01: Sondieren und Koalieren
Greens,376,7674,Robert Habeck | Rede auf dem #Wahlparteitag
Greens,373,18603,Politische Rede von Annalena Baerbock | #dbdk20
CSU,429,1374514,Ja zu Bayern!
CSU,273,1180669,Landtagswahl am 8. Oktober 2023 - Damit Bayern stark und stabil bleibt
CSU,216,4520,"Fail des Tages | ""Danke, Antifa!"""
CSU,172,3809,Fail des Tages I Öffentliches Gelöbnis der Bundeswehr
CSU,144,8304,Ja zu Bayern!
CSU,102,3589,Gründung der CSU
CSU,100,7053,Best-of Aschermittwoch 2021 #dahoAM
CSU,99,4187,Alexander Dobrindt spricht Klartext zur Richtungswahl 2021: Starke Mitte oder linkes Chaos?
CSU,97,20314,Manfred Weber - Unser Mann für Europa
CSU,96,6316,"EPISODE 2 -""Neue Töne"" -der Polit-Podcast der CSU mit Markus Söder"
CDU,3272,1366292,Deutschland gemeinsam machen.
CDU,2672,180064,Einfach mal machen – Folge #7 mit Anna Schneider und Richard David Precht
CDU,2454,946,#Deutschlandreise: Das Reisetagebuch. 26. August 2021: Korschenbroich
CDU,2275,1441,"#Deutschlandreise: Das Reisetagebuch. 3. September 2021: Apolda, Eisenach und Erfurt"
CDU,1557,95204,50 Fragen an Philipp Amthor
CDU,1444,212612,Grußwort Donald Tusk
CDU,757,69953,EINFACH MAL MACHEN Folge #4 – mit Ulrike Herrmann und Prof. Clemens Fuest
CDU,666,53562,Einfach mal machen – Folge #5 mit Nena Brockhaus und Hendrik Streeck
CDU,655,271192,"Alles, was wir tun, tun wir aus Verantwortung für unser Land. Und:  #wegenmorgen."
CDU,606,38902,Einfach mal machen – Folge #11 mit Micky Beisenherz und Robin Alexander
AfD TV,114061,2708077,Der Weidel-Hammer: Bei dieser Rede tobte der Bundestag! - AfD - Alice Weidel
AfD TV,42502,492150,„Diese Maßnahmen sind ein himmelschreiendes Verbrechen!“
AfD TV,34632,494284,"Der Weidel-Hammer im Bundestag: ""Was haben Sie da auf unser Volk losgelassen?"""
AfD TV,31729,401182,Das hat gesessen! Martin Hess nimmt hier kein Blatt vor den Mund!
AfD TV,29602,606412,Millionen ohne Berufsabschluss - ein Teil davon sitzt hier!
AfD TV,27685,328410,Alice Weidel ZERLEGT die Ampel!
AfD TV,26691,644321,❝Die EU ist Irrsinn!❞ | Alice Weidel in Pforzheim
AfD TV,26557,337452,Interview im Deutschlandfunk: Tino Chrupalla weist Moderator in die Schranken
AfD TV,25903,490639,Nach Gender-Kritik toben Grüne mit wütendem Geschrei!
AfD TV,25573,318324,Lauterbach-Rücktritt statt Isolationspflicht - Alice Weidel - AfD
AfD BT,128160,2195987,Alice Weidel auf 180! So hat sie noch nie mit der Ampel abgerechnet! - AfD-Fraktion im Bundestag
AfD BT,71742,2086875,Baerbock stinksauer: Markus Frohnmaier entlarvt Doppelmoral der Außenministerin! - AfD-Fraktion
AfD BT,67392,1134478,Migrationsmurks der Ampel bringt Norbert Kleinwächter auf 180! 💥 - AfD-Fraktion im Bundestag
AfD BT,64441,1626433,Beatrix von Storch rechnet mit den Klima-Spinnern ab! - AfD-Fraktion im Bundestag
AfD BT,63035,1140949,Alice Weidel nutzt die Regierungserklärung von Scholz für eine Generalabrechnung mit der Ampel - AfD
AfD BT,62360,1505295,Stefan Keuter rechnet mit Baerbock ab! - AfD-Fraktion im Bundestag
AfD BT,61934,828456,"Aufruhr im Bundestag, als Alice Weidel mit Merkels Politik abrechnet! - AfD-Fraktion im Bundestag"
AfD BT,60915,789019,"Aufruhr im Bundestag, als Alice Weidel mit Merkels Regierungspolitik abrechnet! - AfD-Fraktion"
AfD BT,57537,1731963,Entgleisung von Göring-Eckardt bei Applaus für AfD-Rede! Martin Sichert - AfD-Fraktion im Bundestag
