channel,chFollowers,nShortVideos,nLongVideos,nTotalVideos,meanVideoLen,nSentences
AfD BT,539000,665,5562,6227,411.4107917135057,378326
AfD DE,340000,654,1245,1899,541.3380726698263,173464
CDU/CSU BT,8050,461,675,1136,512.4621478873239,81172
CDU/CSU DE,30800,680,391,1071,513.0140056022409,88183
FDP BT,24500,298,346,644,379.65372670807454,39222
FDP DE,29600,433,325,758,527.335092348285,57468
Greens BT,3000,140,93,233,333.3304721030043,11572
Greens DE,36500,237,433,670,588.9313432835821,55776
Left BT new,3280,182,157,339,203.10324483775813,11986
Left BT old,69500,716,3436,4152,328.9094412331407,212200
Left DE,146000,431,372,803,562.6201743462018,67791
SPD BT,4450,254,46,300,223.07666666666665,10733
SPD DE,35600,680,435,1115,566.6896860986548,94845
